Arquivo,Tamanho (KB),Data Modificação
TG039_39094_67706_01398_039_20251227004037_91.13.BIN,51.54,27/12/2025 00:38
TG039_39506_68096_01823_039_20251227011007_91.13.BIN,51.98,27/12/2025 01:10
TG039_39506_68096_01824_039_20251227011049_91.13.BIN,1.18,27/12/2025 01:10
TG037_37501_68079_00994_037_20251227111335_91.13.BIN,36.79,27/12/2025 22:10
TG037_37501_68079_00995_037_20251227220844_91.13.BIN,34.19,27/12/2025 22:10
TG037_37503_67421_01016_037_20251227132011_91.13.BIN,33.45,27/12/2025 22:30
TG037_37503_67421_01017_037_20251227222914_91.13.BIN,24.42,27/12/2025 22:30
TG037_37511_67490_00992_037_20251227144129_91.13.BIN,49.09,27/12/2025 14:42
TG037_37521_67491_00801_037_20251227140548_91.13.BIN,32.15,27/12/2025 20:19
TG037_37521_67491_00802_037_20251227201816_91.13.BIN,19.50,27/12/2025 20:19
TG037_37525_67746_00886_037_20251227142031_91.13.BIN,35.98,28/12/2025 00:41
TG037_37526_66997_01611_037_20251227130613_91.13.BIN,47.15,27/12/2025 23:31
TG037_37526_66997_01612_037_20251227233100_91.13.BIN,40.84,27/12/2025 23:32
TG037_37527_67625_00925_037_20251227121835_91.13.BIN,32.11,27/12/2025 22:42
TG037_37527_67625_00926_037_20251227224018_91.13.BIN,38.88,27/12/2025 22:42
TG039_37529_66653_00826_039_20251227145818_91.13.BIN,55.65,27/12/2025 14:59
TG039_39004_66894_01369_039_20251227130419_91.13.BIN,27.65,27/12/2025 22:08
TG039_39004_66894_01370_039_20251227220642_91.13.BIN,28.68,27/12/2025 22:08
TG039_39005_67758_01199_039_20251227134725_91.13.BIN,37.93,27/12/2025 21:41
TG039_39005_67758_01200_039_20251227213924_91.13.BIN,37.22,27/12/2025 21:41
TG039_39007_67095_01213_039_20251227120832_91.13.BIN,19.66,27/12/2025 20:01
TG039_39007_67095_01214_039_20251227200025_91.13.BIN,18.23,27/12/2025 20:01
TG039_39023_66939_01193_039_20251227123921_91.13.BIN,48.75,27/12/2025 12:39
TG039_39034_67040_01079_039_20251227211950_91.13.BIN,20.02,27/12/2025 21:20
TG039_39058_67196_01344_039_20251227133542_91.13.BIN,18.23,27/12/2025 13:36
TG039_39122_67394_00990_039_20251227152837_91.13.BIN,37.10,27/12/2025 15:30
TG039_39137_67051_01395_039_20251227142106_91.13.BIN,36.11,27/12/2025 14:22
TG039_39504_66717_01588_039_20251227142005_91.13.BIN,33.54,27/12/2025 14:21
TG039_39506_68096_01825_039_20251227054958_91.13.BIN,2.97,27/12/2025 05:50
TG039_39506_68096_01826_039_20251227141557_91.13.BIN,29.73,27/12/2025 20:32
TG039_39506_68096_01827_039_20251227203044_91.13.BIN,18.13,27/12/2025 20:32
TG039_39511_66450_00993_039_20251227131044_91.13.BIN,33.03,27/12/2025 22:00
TG039_39511_66450_00994_039_20251227215920_91.13.BIN,58.37,27/12/2025 22:01
