Arquivo,Tamanho (KB),Data Modificação
TG037_37525_67746_00887_037_20251228003922_91.13.BIN,42.48,28/12/2025 00:41
TG039_39008_67666_00761_039_20251228010545_91.13.BIN,45.51,28/12/2025 01:07
TG037_37501_68079_00996_037_20251228124348_91.13.BIN,14.56,28/12/2025 12:44
TG037_37503_67421_01018_037_20251228130402_91.13.BIN,19.90,28/12/2025 22:19
TG037_37503_67421_01019_037_20251228222024_91.13.BIN,24.80,28/12/2025 22:19
TG037_37511_67490_00993_037_20251228130909_91.13.BIN,27.63,28/12/2025 21:03
TG037_37511_67490_00994_037_20251228210539_91.13.BIN,26.71,28/12/2025 21:03
TG037_37517_68081_01140_037_20251228125839_91.13.BIN,29.90,28/12/2025 21:05
TG037_37517_68081_01141_037_20251228210639_91.13.BIN,25.26,28/12/2025 21:05
TG037_37525_67746_00888_037_20251228133139_91.13.BIN,30.62,28/12/2025 13:32
TG039_39008_67666_00762_039_20251228124115_91.13.BIN,18.35,28/12/2025 20:49
TG039_39008_67666_00763_039_20251228204957_91.13.BIN,22.86,28/12/2025 20:49
TG039_39022_66737_00644_039_20251228122127_91.13.BIN,6.67,28/12/2025 23:18
TG039_39022_66737_00645_039_20251228232019_91.13.BIN,33.23,28/12/2025 23:19
TG039_39023_66939_01194_039_20251228140703_91.13.BIN,32.07,29/12/2025 00:34
TG039_39024_67229_01218_039_20251228133548_91.13.BIN,28.36,28/12/2025 22:04
TG039_39024_67229_01219_039_20251228220613_91.13.BIN,19.72,28/12/2025 22:04
TG039_39094_67706_01399_039_20251228120804_91.13.BIN,15.92,28/12/2025 12:08
TG039_39100_67988_01165_039_20251228115317_91.13.BIN,46.26,28/12/2025 22:53
TG039_39100_67988_01166_039_20251228225345_91.13.BIN,38.91,28/12/2025 22:53
TG039_39104_66308_00937_039_20251228210332_91.13.BIN,25.38,28/12/2025 21:02
TG039_39506_68096_01828_039_20251228135204_91.13.BIN,27.23,28/12/2025 13:53
