Arquivo,Tamanho (KB),Data Modificação
TG037_37503_67421_01102_037_20260302000918_91.13.BIN,31.79,02/03/2026 00:18
TG039_39511_66450_01090_039_20260302003655_91.13.BIN,50.80,02/03/2026 00:36
TG037_37501_68079_01092_037_20260302152149_91.13.BIN,31.78,02/03/2026 23:20
TG037_37501_68079_01093_037_20260302231932_91.13.BIN,35.01,02/03/2026 23:20
TG037_37503_67421_01103_037_20260302145612_91.13.BIN,36.72,02/03/2026 22:15
TG037_37503_67421_01104_037_20260302221453_91.13.BIN,28.88,02/03/2026 22:15
TG037_37511_67490_01088_037_20260302185201_91.13.BIN,64.55,02/03/2026 18:51
TG037_37521_67491_00885_037_20260302133144_91.13.BIN,33.50,02/03/2026 22:10
TG037_37521_67491_00886_037_20260302221043_91.13.BIN,25.26,02/03/2026 22:10
TG037_37526_66997_01695_037_20260302154617_91.13.BIN,44.06,02/03/2026 21:43
TG037_37526_66997_01696_037_20260302214257_91.13.BIN,29.12,02/03/2026 21:43
TG037_37527_67625_01030_037_20260302114226_91.13.BIN,28.94,02/03/2026 20:48
TG037_37527_67625_01031_037_20260302204846_91.13.BIN,43.50,02/03/2026 20:48
TG039_37529_66653_00912_039_20260302135303_91.13.BIN,52.62,02/03/2026 23:21
TG039_37529_66653_00913_039_20260302232129_91.13.BIN,43.10,02/03/2026 23:21
TG039_39004_66894_01445_039_20260302203816_91.13.BIN,33.09,02/03/2026 20:37
TG039_39005_67758_01275_039_20260302193044_91.13.BIN,77.22,02/03/2026 19:30
TG039_39007_67095_01318_039_20260302110741_91.13.BIN,12.82,02/03/2026 11:06
TG039_39007_67095_01319_039_20260302193025_91.13.BIN,17.11,02/03/2026 19:31
TG039_39008_67666_00855_039_20260302145031_91.13.BIN,48.62,02/03/2026 22:32
TG039_39008_67666_00856_039_20260302223254_91.13.BIN,30.76,02/03/2026 22:32
TG039_39017_66369_01242_039_20260302125708_91.13.BIN,41.29,02/03/2026 20:39
TG039_39017_66369_01243_039_20260302202722_91.13.BIN,30.36,02/03/2026 20:39
TG039_39022_66737_00752_039_20260302135458_91.13.BIN,48.51,02/03/2026 21:25
TG039_39022_66737_00753_039_20260302212551_91.13.BIN,31.14,02/03/2026 21:25
TG039_39023_66939_01257_039_20260302185713_91.13.BIN,48.18,02/03/2026 18:56
TG039_39024_67229_01320_039_20260302141505_91.13.BIN,42.45,02/03/2026 14:15
TG039_39024_67229_01321_039_20260302211016_91.13.BIN,22.78,02/03/2026 21:10
TG039_39041_67728_01327_039_20260302120428_91.13.BIN,33.43,02/03/2026 12:03
TG039_39041_67728_01328_039_20260302211304_91.13.BIN,34.17,02/03/2026 21:13
TG039_39094_67706_01486_039_20260302145651_91.13.BIN,28.87,02/03/2026 21:49
TG039_39094_67706_01487_039_20260302214859_91.13.BIN,29.17,02/03/2026 21:49
TG039_39097_67448_01535_039_20260302194453_91.13.BIN,37.91,02/03/2026 19:47
TG039_39098_67417_01101_039_20260302212928_91.13.BIN,79.44,02/03/2026 21:29
TG039_39134_66273_01232_039_20260302133132_91.13.BIN,23.38,02/03/2026 13:31
TG039_39134_66273_01233_039_20260302223055_91.13.BIN,39.51,02/03/2026 22:31
TG039_39137_67051_01449_039_20260302192944_91.13.BIN,58.87,02/03/2026 19:29
TG039_39138_67843_01024_039_20260302155345_91.13.BIN,45.59,02/03/2026 23:15
TG039_39138_67843_01025_039_20260302231545_91.13.BIN,35.10,02/03/2026 23:15
TG039_39139_67543_01255_039_20260302191357_91.13.BIN,55.40,02/03/2026 19:12
TG039_39511_66450_01091_039_20260302131710_91.13.BIN,24.54,02/03/2026 13:17
